"","Location","class.Var","Abundance.summed","Prevalence","nsamples","avgabund"
"1","Baltimore","Acidimicrobiia",38358,9,60,639.3
"2","Baltimore","Acidobacteriia",0,2,60,0
"3","Baltimore","Actinobacteria",62794,13,60,1046.56666666667
"4","Baltimore","Anaerolineae",708,16,60,11.8
"5","Baltimore","Bacilli",2,2,60,0.0333333333333333
"6","Baltimore","Chloroflexia",803,14,60,13.3833333333333
"7","Baltimore","Clostridia",18,2,60,0.3
"8","Baltimore","Deinococci",198,14,60,3.3
"9","Baltimore","Deltaproteobacteria",3773,12,60,62.8833333333333
"10","Baltimore","Erysipelotrichia",146,9,60,2.43333333333333
"11","Baltimore","Gemmatimonadetes",436,15,60,7.26666666666667
"12","Baltimore","Holophagae",8,2,60,0.133333333333333
"13","Baltimore","Mollicutes",49,8,60,0.816666666666667
"14","Baltimore","Oxyphotobacteria",251903,13,60,4198.38333333333
"15","Baltimore","Phycisphaerae",22332,16,60,372.2
"16","Baltimore","Planctomycetacia",59194,13,60,986.566666666667
"17","Baltimore","Rhodothermia",1350,8,60,22.5
"18","Baltimore","Thermoleophilia",1845,15,60,30.75
"19","Baltimore","Verrucomicrobiae",11277,7,60,187.95
"20","Busan","Acidimicrobiia",14213,2,63,225.603174603175
"21","Busan","Actinobacteria",4338,1,63,68.8571428571429
"22","Busan","Bacilli",158,5,63,2.50793650793651
"23","Busan","Clostridia",82,2,63,1.3015873015873
"24","Busan","Lentisphaeria",1528,19,63,24.2539682539683
"25","Busan","Nitriliruptoria",241,9,63,3.82539682539683
"26","Busan","Oxyphotobacteria",94748,7,63,1503.93650793651
"27","Busan","Phycisphaerae",79,1,63,1.25396825396825
"28","Busan","Planctomycetacia",3324,1,63,52.7619047619048
"29","Busan","Rhodothermia",3223,7,63,51.1587301587302
"30","Charleston","Acidimicrobiia",35590,8,59,603.220338983051
"31","Charleston","Acidobacteriia",13,4,59,0.220338983050847
"32","Charleston","Actinobacteria",10587,4,59,179.440677966102
"33","Charleston","Bacilli",5,2,59,0.0847457627118644
"34","Charleston","Deltaproteobacteria",1100,4,59,18.6440677966102
"35","Charleston","Gemmatimonadetes",0,1,59,0
"36","Charleston","Hydrogenedentia",390,15,59,6.61016949152542
"37","Charleston","Mollicutes",33,4,59,0.559322033898305
"38","Charleston","Oxyphotobacteria",100521,11,59,1703.74576271186
"39","Charleston","Phycisphaerae",643,9,59,10.8983050847458
"40","Charleston","Planctomycetacia",27961,8,59,473.915254237288
"41","Charleston","Rhodothermia",3203,9,59,54.2881355932203
"42","Charleston","Thermoleophilia",75,10,59,1.27118644067797
"43","Charleston","Verrucomicrobiae",5113,2,59,86.6610169491525
"44","Duluth","Acidimicrobiia",29328,4,61,480.786885245902
"45","Duluth","Acidobacteriia",682,16,61,11.1803278688525
