"Sample","ABY1","Acidimicrobiia","Acidobacteriia","Actinobacteria","Alphaproteobacteria","Aminicenantia","Anaerolineae","Armatimonadia","Babeliae","Bacilli","Bacteroidia","Bathyarchaeia","BD2-11_terrestrial_group","BD7-11","Blastocatellia_(Subgroup_4)","Calditrichia","Campylobacteria","Chlamydiae","Chloroflexia","Chthonomonadetes","Clostridia","Coriobacteriia","CPR2","Dadabacteriia","Deferribacteres","Dehalococcoidia","Deinococci","Deltaproteobacteria","Elusimicrobia","Erysipelotrichia","Fibrobacteria","Fimbriimonadia","Fusobacteriia","Gammaproteobacteria","Gemmatimonadetes","Gracilibacteria","Halanaerobiia","Halobacteria","Holophagae","Hydrogenedentia","Ignavibacteria","JG30-KF-CM66","KD4-96","Kiritimatiellae","Ktedonobacteria","Lentisphaeria","Leptospirae","Lineage_IIa","Lineage_IIb","Longimicrobia","MB-A2-108","Melainabacteria","Methanobacteria","Methanomicrobia","Microgenomatia","Mollicutes","Negativicutes","Nitriliruptoria","Nitrososphaeria","Nitrospinia","Nitrospira","Oligosphaeria","OM190","Omnitrophia","Oxyphotobacteria","Parcubacteria","Phycisphaerae","Pla3_lineage","Pla4_lineage","Planctomycetacia","Rhodothermia","Saccharimonadia","Sericytochromatia","SL56_marine_group","Spirochaetia","Subgroup_17","Subgroup_22","Subgroup_6","Synergistia","Thermoanaerobaculia","Thermodesulfovibrionia","Thermoleophilia","Thermoplasmata","TK10","vadinHA49","Verrucomicrobiae","Woesearchaeia","WWE3"
"BALT1",0,495,0,504,1670,0,15,0,6,50,2491,0,0,0,0,0,0,0,0,7,6,0,0,0,2,0,7,84,0,0,0,0,0,2074,54,27,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,59,0,40,0,55,0,5634,0,317,0,0,716,16,0,0,0,0,0,0,9,0,0,0,0,27,0,0,359,0,0
"BALT10",0,757,6,1288,1862,0,0,0,1,58,2696,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,29,0,0,0,0,0,2197,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,153,0,0,0,99,0,7463,0,175,0,0,514,33,9,0,9,0,0,0,0,0,0,0,20,112,0,0,410,0,0
"BALT10post",0,1153,8,2506,2033,0,0,0,0,13,1092,0,0,0,5,0,0,0,0,0,14,0,0,0,0,0,0,8,0,2,0,0,0,2195,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,6,0,1570,0,28,0,0,145,0,0,0,0,2,0,0,0,7,0,0,30,182,0,0,92,0,0
"BALT11",0,541,15,977,2194,0,6,21,0,51,2977,0,0,0,10,0,25,7,0,0,21,16,0,12,0,0,7,102,0,0,0,0,0,2389,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,190,14,0,3,52,0,8403,0,190,0,0,529,30,0,9,0,0,0,0,19,0,0,0,4,150,0,0,572,0,0
"BALT11post",0,877,0,1996,1680,0,0,0,0,11,1076,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,5,5,0,0,0,0,0,1605,0,0,0,0,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,17,0,2267,0,79,0,0,23,2,0,0,0,0,0,0,8,5,0,0,28,55,0,0,71,0,0
"BALT12",0,530,4,786,1726,0,0,0,9,110,2466,0,0,0,3,0,0,0,0,7,6,0,0,0,0,0,2,107,0,0,0,0,0,2088,0,10,0,0,0,0,32,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,50,0,6492,0,119,0,0,342,38,0,0,0,0,0,0,3,0,0,0,21,101,0,0,465,0,0
"BALT12post",0,757,0,2284,1724,0,15,0,0,15,1829,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,43,0,0,0,0,0,1936,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,6,0,0,0,61,17,0,20,0,0,0,0,0,3144,0,4,0,0,85,0,0,0,0,0,5,0,0,0,0,0,29,183,0,0,108,0,0
"BALT13",0,479,0,910,1819,0,9,0,0,128,2629,0,0,0,0,0,25,0,1,8,18,0,0,0,0,0,57,48,0,0,12,0,0,2480,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,155,4,0,0,104,8,6521,0,141,16,0,479,38,0,0,0,0,0,0,4,0,0,5,30,75,0,0,416,0,0
"BALT13post",0,1062,0,3198,2691,0,0,0,0,33,1697,0,0,0,0,0,0,0,8,0,5,0,0,4,0,0,45,41,0,0,0,0,0,2980,31,5,0,0,0,0,0,0,0,32,0,7,0,0,0,0,0,0,0,0,0,42,2,0,0,0,0,0,13,0,2881,0,138,0,0,264,7,0,0,2,0,0,0,0,0,0,0,30,228,0,0,122,0,0
"BALT14",0,525,11,743,1581,0,0,0,0,110,2132,0,0,0,0,0,13,0,3,0,11,0,0,0,0,0,0,70,0,0,0,0,0,1765,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,3,0,0,111,0,10,0,24,0,5864,0,109,0,0,296,13,0,0,9,0,0,0,0,0,0,0,10,134,0,0,377,0,0
"BALT14post",0,577,0,1397,1387,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1048,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,29,0,0
