abundance,group,region,Port
0.012874181,Acidimicrobiia,Asia,Busan
0.026866067,Acidimicrobiia,Asia,Busan
0.018560842,Acidimicrobiia,Asia,Busan
0.035783267,Acidimicrobiia,Asia,Busan
0.028581428,Acidimicrobiia,Asia,Busan
0.007033212,Acidimicrobiia,Asia,Busan
0.018977655,Acidimicrobiia,Asia,Busan
0.015089514,Acidimicrobiia,Asia,Busan
0.024124214,Acidimicrobiia,Asia,Busan
0.001603376,Acidimicrobiia,Asia,Busan
0.041175546,Acidimicrobiia,Asia,Busan
0.012987013,Acidimicrobiia,Asia,Busan
0.028329689,Acidimicrobiia,Asia,Busan
0.017200991,Acidimicrobiia,Asia,Busan
0.029677044,Acidimicrobiia,Asia,Busan
0.005419805,Acidimicrobiia,Asia,Busan
0.020435432,Acidimicrobiia,Asia,Busan
0.014213417,Acidimicrobiia,Asia,Busan
0.02941446,Acidimicrobiia,Asia,Busan
0.01937894,Acidimicrobiia,Asia,Busan
0.029150018,Acidimicrobiia,Asia,Busan
0.025565933,Acidimicrobiia,Asia,Busan
0.009750363,Acidimicrobiia,Asia,Busan
0.016924145,Acidimicrobiia,Asia,Busan
0.044339705,Acidimicrobiia,Asia,Busan
0.006063056,Acidimicrobiia,Asia,Busan
0.040108331,Acidimicrobiia,Asia,Busan
0.004373073,Acidimicrobiia,Asia,Busan
0.025597366,Acidimicrobiia,Asia,Busan
0.015858669,Acidimicrobiia,Asia,Busan
0.032967033,Acidimicrobiia,Asia,Busan
0.023776224,Acidimicrobiia,Asia,Busan
0.022602965,Acidimicrobiia,Asia,Busan
0.011589614,Acidimicrobiia,Asia,Busan
0.012190232,Acidimicrobiia,Asia,Busan
0.016581633,Acidimicrobiia,Asia,Busan
0.024566001,Acidimicrobiia,Asia,Busan
0.01778683,Acidimicrobiia,Asia,Busan
0.026236834,Acidimicrobiia,Asia,Busan
0.026390755,Acidimicrobiia,Asia,Busan
0.035090042,Acidimicrobiia,Asia,Busan
0.012054347,Acidimicrobiia,Asia,Busan
0.032637885,Acidimicrobiia,Asia,Busan
0.02405549,Acidimicrobiia,Asia,Busan
0.009401381,Acidimicrobiia,Asia,Busan
