abundance,group,region,Port
0.014243974,Acidimicrobiia,East,Baltimore
0.014577033,Acidimicrobiia,East,Baltimore
0.177610579,Acidimicrobiia,East,Baltimore
0.00468297,Acidimicrobiia,East,Baltimore
0.148586374,Acidimicrobiia,East,Baltimore
0.008301464,Acidimicrobiia,East,Baltimore
0.097526644,Acidimicrobiia,East,Baltimore
0.010183687,Acidimicrobiia,East,Baltimore
0.14765213,Acidimicrobiia,East,Baltimore
0.018135539,Acidimicrobiia,East,Baltimore
0.172761112,Acidimicrobiia,East,Baltimore
0.007921715,Acidimicrobiia,East,Baltimore
0.155317248,Acidimicrobiia,East,Baltimore
0.014040562,Acidimicrobiia,East,Baltimore
0.150852093,Acidimicrobiia,East,Baltimore
0.00508647,Acidimicrobiia,East,Baltimore
0.139390262,Acidimicrobiia,East,Baltimore
0.120874285,Acidimicrobiia,East,Baltimore
0.013312806,Acidimicrobiia,East,Baltimore
0.143688085,Acidimicrobiia,East,Baltimore
0.00777027,Acidimicrobiia,East,Baltimore
0.014440433,Acidimicrobiia,East,Baltimore
0.093823947,Acidimicrobiia,East,Baltimore
0.00618091,Acidimicrobiia,East,Baltimore
0.108952909,Acidimicrobiia,East,Baltimore
0.013965788,Acidimicrobiia,East,Baltimore
0.166531867,Acidimicrobiia,East,Baltimore
0.013999803,Acidimicrobiia,East,Baltimore
0.10860167,Acidimicrobiia,East,Baltimore
0.011490844,Acidimicrobiia,East,Baltimore
0.064897839,Acidimicrobiia,East,Baltimore
0.009832672,Acidimicrobiia,East,Baltimore
0.136041859,Acidimicrobiia,East,Baltimore
0.01051392,Acidimicrobiia,East,Baltimore
0.118200742,Acidimicrobiia,East,Baltimore
0.021956643,Acidimicrobiia,East,Baltimore
0.012963791,Acidimicrobiia,East,Baltimore
0.083027102,Acidimicrobiia,East,Baltimore
0.124432718,Acidimicrobiia,East,Baltimore
0.005656034,Acidimicrobiia,East,Baltimore
0.053544286,Acidimicrobiia,East,Baltimore
0.145241432,Acidimicrobiia,East,Baltimore
0.013064133,Acidimicrobiia,East,Baltimore
0.007337671,Acidimicrobiia,East,Baltimore
0.106515116,Acidimicrobiia,East,Baltimore
0.129820864,Acidimicrobiia,East,Baltimore
0.007682659,Acidimicrobiia,East,Baltimore
0.158944877,Acidimicrobiia,East,Baltimore
0.01742861,Acidimicrobiia,East,Baltimore
0.181531532,Acidimicrobiia,East,Baltimore
0.017894096,Acidimicrobiia,East,Baltimore
0.14946934,Acidimicrobiia,East,Baltimore
