"","seqtaball","seqtabmergednoc"
"BUS1",17269,13828
"BUS10",9343,8432
"BUS10post",19408,16214
"BUS11",12302,10884
"BUS11post",22333,19239
"BUS12",22783,19825
"BUS12post",20979,18249
"BUS13",4772,4523
"BUS13post",9615,8560
"BUS14",14898,13382
"BUS14post",7648,6879
"BUS15",22948,19544
"BUS15post",28071,23598
"BUS16",18814,16881
"BUS16post",18799,15736
"BUS17",13483,11668
"BUS17post",16995,14045
"BUS18",11628,10304
"BUS18post",15011,12210
"BUS19",17094,14439
"BUS19post",13851,12045
"BUS1post",17538,14227
"BUS2",17785,15558
"BUS20",15195,13135
"BUS20post",14569,12960
"BUS21",12476,11574
"BUS21post",10035,8382
"BUS22",18232,16430
"BUS22post",23444,20154
"BUS23",15102,13624
"BUS23post",9113,7779
"BUS24",19302,18335
"BUS24post",20963,17121
"BUS25",21195,18138
"BUS25post",18406,14519
"BUS26",6443,6117
"BUS26post",14918,13134
"BUS27",18198,16712
"BUS27post",19482,17274
"BUS28",23491,21040
"BUS28post",18598,16729
"BUS29",13273,11003
"BUS29post",12087,10584
"BUS2post",8441,7530
"BUS3",32041,28454
"BUS30",11799,9787
"BUS30post",18152,14173
"BUS31",26972,21274
"BUS31post",15673,11196
"BUS32",22639,18557
"BUS3post",23900,18230
"BUS4",6054,5393
"BUS4post",8634,7139
"BUS5",2881,2697
"BUS5post",20086,15857
"BUS6",18541,14347
"BUS6post",2875,2562
"BUS7",15019,13070
"BUS7post",7120,6631
"BUS8",18369,15792
"BUS8post",21626,18268
"BUS9",14960,13129
"BUS9post",13774,12104
"DS1",16065,15658
"DS10",10482,10175
"DS10post",18203,18079
"DS11",1915,1906
"DS11post",12168,12025
"DS12",7308,6959
"DS12post",2787,2779
"DS13",17617,15662
"DS13post",33831,33469
"DS14",23189,21406
"DS14post",32684,32126
"DS15",15845,14476
"DS15post",15142,14588
"DS16",8994,8673
"DS16post",11065,11034
"DS18",31564,28352
"DS18post",11114,10898
"DS19",11416,10362
"DS19post",12834,12478
"DS1post",17880,17424
"DS2",13180,12716
"DS20",20249,18093
"DS20post",21935,19314
"DS21",12015,11121
"DS21post",24734,23146
"DS22",17793,15929
"DS22post",20988,19644
"DS23",24922,22869
"DS23post",19804,18371
"DS24",13666,12203
"DS24post",18244,15993
"DS25",10871,9953
"DS25post",16443,14306
"DS26",13021,11728
"DS26post",10547,9205
"DS27",9216,8376
"DS28",21479,18460
"DS28post",39732,34944
"DS29",25792,23436
"DS29post",16347,15096
"DS2post",15162,15074
"DS3",5096,4853
"DS30",10708,9928
"DS30post",17917,16873
"DS31",12829,11703
"DS31post",17220,16315
"DS32",17885,16126
"DS32post",16470,15162
"DS3post",19106,18267
"DS4",14562,14336
"DS4post",16915,16423
"DS5",10616,10042
"DS5post",18122,17966
"DS6",10202,9697
"DS6post",17249,17023
"DS7",6351,6117
"DS7post",16479,16202
"DS8",13590,13108
"DS8post",23120,23013
"DS9",15824,15360
"DS9post",21627,21467
"DSBILGE",8730,7605
"DSBILGEpost",9880,9046
"GB1",2299,2271
"GB10",19961,17582
"GB10post",21950,20396
"GB11",20355,17336
"GB11post",5346,4886
"GB12",17544,15967
"GB12post",18872,17084
"GB13",4959,4853
"GB13post",18156,18043
"GB14",2908,2858
"GB14post",25204,25093
"GB15",216,216
"GB15post",10704,10668
"GB16",1506,1506
"GB165",3849,3778
"GB165post",8288,8098
"GB16post",245,240
"GB17",945,852
"GB175",15748,15227
"GB175post",3636,3607
"GB17post",8345,8284
"GB19",11821,11548
"GB19post",1067,1056
"GB1post",26662,25805
"GB2",22320,20823
"GB20",21157,19871
"GB20post",17143,16902
"GB21",17528,16811
"GB21post",24171,23998
"GB22",9384,9201
"GB22post",7570,7493
"GB24",10481,9762
"GB24post",9614,9360
"GB25",16680,15118
"GB25post",20695,20036
"GB26",17205,16469
"GB26post",14503,13320
"GB27",18782,18404
"GB27post",16333,15654
"GB28",11700,10872
"GB28post",17726,16236
"GB29",3151,3114
"GB29post",15504,14192
"GB2post",2606,2535
"GB3",23308,22553
"GB31",13094,12212
"GB31post",842,797
"GB32",21767,20137
"GB32post",24507,22455
"GB33",17393,16572
"GB33post",11700,10746
"GB3post",17431,16241
"GB4",21681,20352
"GB4post",19135,18694
"GB5",3819,3803
"GB5post",195150,190416
"GB6",21211,19705
"GB6post",15557,15144
"GB7",27055,24012
"GB7post",22716,20873
"GB8",15196,14044
"GB8post",19580,18692
"GB9",26945,23342
"GB9post",23048,22016
"GBBILGE",18179,17246
"GBBILGEpost",14751,13327
"HK1",32064,22733
"HK10",25633,19549
"HK10post",24687,18916
"HK11",4495,3894
"HK11post",4161,3600
"HK12",20843,16098
"HK12post",21329,16544
"HK13",18111,13895
"HK13post",6016,4685
"HK14",18724,13286
"HK14post",18854,13185
"HK15",19106,15008
"HK15post",13149,10379
"HK16",25462,18086
"HK16post",28424,18796
"HK17",11021,9287
"HK17post",26952,17907
"HK18",22968,15920
"HK18post",39759,30736
"HK19",9665,8122
"HK19post",12312,10387
"HK2",15064,11422
"HK20",20045,15288
"HK20post",23860,17282
"HK21",8117,6604
"HK21post",24053,21875
"HK22",23931,17080
"HK22post",27005,19744
"HK23",14200,11297
"HK23post",20990,15785
"HK24",1677,1523
"HK24post",22427,16102
"HK25",8716,7619
"HK25post",2188,2034
"HK26",19841,13991
"HK26post",23145,16310
"HK27",7225,6704
"HK27post",24642,18018
"HK28",233,229
"HK28post",11015,7766
"HK29",20692,17142
"HK29post",28365,17987
"HK2post",24679,19281
"HK3",2462,2404
"HK30",25399,18966
"HK30post",29018,20744
"HK31",18778,14723
"HK31post",11795,9518
"HK32",18251,13704
"HK32post",18629,13360
"HK33",6558,5547
"HK33post",24642,17557
"HK34",21148,17152
"HK34post",21552,20545
"HK35",18902,14839
"HK35post",23070,16186
"HK3post",26958,21114
"HK4",41290,31410
"HK4post",17690,17623
"HK5",35643,23043
"HK5post",21629,16295
"HK6",25173,17131
"HK6post",23008,17820
"HK7",10121,8152
"HK7post",13148,10880
"HK8",13142,9955
"HK8post",16245,12559
"HKBALLAST",19550,15437
"HKBALLASTpost",24559,14772
"KEW1",23249,20164
